field_70506_as,velocityZ,2,
field_70507_ar,velocityY,2,
field_70508_aq,velocityX,2,
field_70509_j,minecartY,2,
field_70510_h,turnProgress,2,
field_70511_i,minecartX,2,
field_70512_ao,minecartYaw,2,
field_70513_ap,minecartPitch,2,
field_70514_an,minecartZ,2,
field_70516_a,fuse,2,
field_70520_f,tickCounter1,2,
field_70522_e,art,2,
field_70529_d,xpOrbHealth,2,
field_70530_e,xpValue,2,
field_70531_b,xpOrbAge,2,
field_70532_c,delayBeforeCanPickup,2,
field_70533_a,xpColor,2,
field_70544_f,particleScale,2,
field_70545_g,particleGravity,2,
field_70546_d,age,2,
field_70547_e,maxAge,2,
field_70551_j,particleBlue,2,
field_70552_h,particleRed,2,
field_70553_i,particleGreen,2,
field_70566_as,coordZ,2,
field_70567_ar,coordY,2,
field_70568_aq,coordX,2,
field_70572_as,portalPosZ,2,
field_70573_ar,portalPosY,2,
field_70574_aq,portalPosX,2,
field_70579_a,timeSinceStart,2,
field_70580_aq,maximumTime,2,
field_70594_ar,age,2,
field_70696_bz,attackTarget,2,
field_70699_by,navigator,2,
field_70701_bs,moveVertical,2,
field_70702_br,moveStrafing,2,
field_70703_bu,isJumping,2,
field_70708_bq,idleTime,2,
field_70709_bj,interpTargetPitch,2,
field_70713_bf,activePotionsMap,2,
field_70714_bg,goalSelector,2,
field_70715_bh,targetSelector,2,
field_70716_bi,newPosRotationIncrements,2,
field_70717_bb,attackingPlayer,2,
field_70718_bc,recentlyHit,2,
field_70720_be,arrowHitTimer,2,
field_70721_aZ,limbSwingAmount,2,
field_70723_bA,senses,2,
field_70725_aQ,deathTime,2,
field_70728_aV,experienceValue,2,
field_70729_aU,dead,2,
field_70732_aI,prevSwingProgress,2,
field_70733_aJ,swingProgress,2,
field_70737_aN,hurtTime,2,
field_70738_aO,maxHurtTime,2,
field_70739_aP,attackedAtYaw,2,
field_70741_aB,unused180,2,
field_70744_aE,scoreValue,2,
field_70746_aG,landMovementFactor,2,
field_70747_aH,jumpMovementFactor,2,
field_70749_g,lookController,2,
field_70752_e,potionsNeedUpdate,2,
field_70755_b,revengeTarget,2,
field_70756_c,revengeTimer,2,
field_70757_a,livingSoundTime,2,
field_70758_at,prevRotationYawHead,2,
field_70759_as,rotationYawHead,2,
field_70760_ar,prevRenderYawOffset,2,
field_70761_aq,renderYawOffset,2,
field_70762_j,bodyController,2,
field_70763_ax,prevMovedDistance,2,
field_70764_aw,movedDistance,2,
field_70765_h,moveController,2,
field_70767_i,jumpController,2,
field_70768_au,prevOnGroundSpeedFactor,2,
field_70769_ao,randomUnused2,2,
field_70770_ap,randomUnused1,2,
field_70771_an,maxHurtResistantTime,2,
field_70773_bE,jumpTicks,2,
field_70811_b,squishFactor,2,
field_70812_c,prevSquishFactor,2,
field_70813_a,squishAmount,2,
field_70833_d,timeSinceIgnited,2,
field_70834_e,lastActiveTime,2,
field_70837_d,angerLevel,2,
field_70838_e,randomSoundDelay,2,
field_70847_d,heightOffset,2,
field_70848_e,heightOffsetUpdateTime,2,
field_70855_f,attackTimer,2,
field_70856_g,holdRoseTick,2,
field_70859_f,squidYaw,2,
field_70860_g,prevSquidYaw,2,
field_70861_d,squidPitch,2,
field_70862_e,prevSquidPitch,2,
field_70863_bz,randomMotionSpeed,2,
field_70864_bA,rotationVelocity,2,
field_70865_by,lastTentacleAngle,2,
field_70866_j,tentacleAngle,2,
field_70867_h,squidRotation,2,
field_70868_i,prevSquidRotation,2,
field_70869_bD,randomMotionVecY,2,
field_70870_bE,randomMotionVecZ,2,
field_70871_bB,rotateSpeed,2,
field_70872_bC,randomMotionVecX,2,
field_70881_d,inLove,2,
field_70883_f,destPos,2,
field_70884_g,oFlapSpeed,2,
field_70886_e,wingRotation,2,
field_70887_j,timeUntilNextEgg,2,
field_70888_h,oFlap,2,
field_70889_i,wingRotDelta,2,
field_70899_e,sheepTimer,2,
field_70911_d,sitGoal,2,
field_70914_e,aiTempt,2,
field_70924_f,headRotationCourseOld,2,
field_70925_g,isWet,2,
field_70926_e,headRotationCourse,2,
field_70927_j,prevTimeWolfIsShaking,2,
field_70928_h,isShaking,2,
field_70929_i,timeWolfIsShaking,2,
field_70935_b,customer,2,
field_70937_a,merchantInventory,2,
field_70961_j,timeUntilReset,2,
field_70976_f,ringBufferIndex,2,
field_70977_g,dragonParts,2,
field_70979_e,ringBuffer,2,
field_70982_bz,dragonPartTail3,2,
field_70983_bA,dragonPartRightWing,2,
field_70984_by,dragonPartTail2,2,
field_70985_j,dragonPartTail1,2,
field_70986_h,dragonPartHead,2,
field_70987_i,dragonPartBody,2,
field_70988_bD,animTime,2,
field_70990_bB,dragonPartLeftWing,2,
field_70991_bC,prevAnimTime,2,
field_70992_bH,closestEnderCrystal,2,
field_70994_bF,slowed,2,
field_70995_bG,deathTicks,2,
field_71067_cb,experienceTotal,2,
field_71068_ca,experienceLevel,2,
field_71069_bz,container,2,
field_71070_bA,openContainer,2,
field_71071_by,inventory,2,
field_71075_bZ,abilities,2,
field_71076_b,sleepTimer,2,
field_71077_c,spawnPos,2,
field_71078_a,enterChestInventory,2,
field_71080_cy,prevTimeInPortal,2,
field_71085_bR,chasingPosZ,2,
field_71086_bY,timeInPortal,2,
field_71087_bX,inPortal,2,
field_71088_bW,timeUntilPortal,2,
field_71090_bL,xpCooldown,2,
field_71091_bM,prevChasingPosX,2,
field_71093_bK,dimension,2,
field_71094_bP,chasingPosX,2,
field_71095_bQ,chasingPosY,2,
field_71096_bN,prevChasingPosY,2,
field_71097_bO,prevChasingPosZ,2,
field_71100_bB,foodStats,2,
field_71101_bC,flyToggleTimer,2,
field_71102_ce,speedInAir,2,
field_71104_cf,fishingBobber,2,
field_71106_cc,experience,2,
field_71107_bF,prevCameraYaw,2,
field_71109_bG,cameraYaw,2,
field_71130_g,entityRemoveQueue,2,
field_71133_b,server,2,
field_71134_c,interactionManager,2,
field_71135_a,connection,2,
field_71136_j,queuedEndExit,2,
field_71137_h,isChangingQuantityOnly,2,
field_71138_i,ping,2,
field_71139_cq,currentWindowId,2,
field_71140_co,chatColours,2,
field_71143_cn,chatVisibility,2,
field_71144_ck,lastExperience,2,
field_71146_ci,lastFoodLevel,2,
field_71147_cj,wasHungry,2,
field_71148_cg,language,2,
field_71149_ch,lastHealth,2,
field_71154_f,renderArmYaw,2,
field_71155_g,renderArmPitch,2,
field_71156_d,sprintToggleTimer,2,
field_71157_e,sprintingTicksLeft,2,
field_71158_b,movementInput,2,
field_71159_c,mc,2,
field_71163_h,prevRenderArmYaw,2,
field_71164_i,prevRenderArmPitch,2,
field_71174_a,connection,2,
field_71280_D,buildLimit,2,
field_71284_A,pvpEnabled,2,
field_71285_B,allowFlight,2,
field_71286_C,motd,2,
field_71287_L,worldName,2,
field_71288_M,isDemo,2,
field_71289_N,enableBonusChest,2,
field_71292_I,serverKeyPair,2,
field_71293_J,serverOwner,2,
field_71294_K,folderName,2,
field_71295_T,startProfiling,2,
field_71296_Q,serverIsRunning,2,
field_71298_S,userMessage,2,
field_71299_R,timeOfLastWarning,2,
field_71304_b,profiler,2,
field_71305_c,worlds,2,
field_71307_n,snooper,2,
field_71308_o,anvilFile,2,
field_71310_m,anvilConverterForAnvilFile,2,
field_71311_j,tickTimeArray,2,
field_71315_w,tickCounter,2,
field_71316_v,serverStopped,2,
field_71317_u,serverRunning,2,
field_71318_t,playerList,2,
field_71319_s,serverPort,2,
field_71320_r,hostname,2,
field_71322_p,tickables,2,
field_71323_z,canSpawnNPCs,2,
field_71324_y,canSpawnAnimals,2,
field_71325_x,onlineMode,2,
field_71337_q,gameType,2,
field_71339_n,rconThread,2,
field_71340_o,settings,2,
field_71341_l,pendingCommandList,2,
field_71342_m,rconQueryThread,2,
field_71345_q,lanServerPing,2,
field_71348_o,isGamePaused,2,
field_71349_l,mc,2,
field_71350_m,worldSettings,2,
field_71412_D,gameDir,2,
field_71417_B,mouseHelper,2,
field_71419_L,debugUpdateTime,2,
field_71420_M,fpsCounter,2,
field_71422_O,currentServerData,2,
field_71424_I,profiler,2,
field_71425_J,running,2,
field_71426_K,debug,2,
field_71427_U,snooper,2,
field_71428_T,timer,2,
field_71429_W,leftClickCounter,2,
field_71432_P,instance,2,
field_71433_S,crashReporter,2,
field_71437_Z,integratedServer,2,
field_71438_f,worldRenderer,2,
field_71439_g,player,2,
field_71441_e,world,2,
field_71442_b,playerController,2,
field_71444_a,memoryReserve,2,
field_71445_n,isGamePaused,2,
field_71446_o,textureManager,2,
field_71449_j,session,2,
field_71452_i,particles,2,
field_71453_ak,networkManager,2,
field_71454_w,skipRenderWorld,2,
field_71455_al,integratedServerIsRunning,2,
field_71456_v,ingameGUI,2,
field_71459_aj,isDemo,2,
field_71460_t,gameRenderer,2,
field_71462_r,currentScreen,2,
field_71464_q,standardGalacticFontRenderer,2,
field_71465_an,debugProfilerName,2,
field_71466_p,fontRenderer,2,
field_71467_ac,rightClickDelayTimer,2,
field_71469_aa,saveFormat,2,
field_71470_ab,debugFPS,2,
field_71474_y,gameSettings,2,
field_71476_x,objectMouseOver,2,
field_71510_d,crashReportFile,2,
field_71511_b,cause,2,
field_71512_c,crashReportSections,2,
field_71513_a,description,2,
field_71567_b,ILLEGAL_FILE_CHARACTERS,2,
field_71576_a,crashReport,2,
field_72307_f,hitResult,2,
field_72334_f,maxZ,2,
field_72336_d,maxX,2,
field_72337_e,maxY,2,
field_72338_b,minY,2,
field_72339_c,minZ,2,
field_72340_a,minX,2,
field_72400_f,server,2,
field_72401_g,bannedPlayers,2,
field_72402_d,viewDistance,2,
field_72403_e,DATE_FORMAT,2,
field_72404_b,players,2,
field_72405_c,maxPlayers,2,
field_72407_n,commandsAllowedForAll,2,
field_72408_o,playerPingIndex,2,
field_72409_l,whiteListEnforced,2,
field_72410_m,gameType,2,
field_72411_j,whiteListedPlayers,2,
field_72412_k,playerDataManager,2,
field_72413_h,bannedIPs,2,
field_72414_i,ops,2,
field_72416_e,hostPlayerData,2,
field_72448_b,y,2,
field_72449_c,z,2,
field_72450_a,x,2,
field_72595_f,requestIdAsString,2,
field_72596_d,requestId,2,
field_72597_e,challengeValue,2,
field_72598_b,timestamp,2,
field_72599_c,randomChallenge,2,
field_72614_f,serverSocketList,2,
field_72615_d,maxStopWait,2,
field_72616_e,socketList,2,
field_72617_b,server,2,
field_72618_c,rconThread,2,
field_72619_a,running,2,
field_72629_g,lastAuthCheckTime,2,
field_72630_n,buffer,2,
field_72631_o,incomingPacket,2,
field_72632_l,worldName,2,
field_72633_m,querySocket,2,
field_72634_j,maxPlayers,2,
field_72635_k,serverMotd,2,
field_72636_h,queryPort,2,
field_72637_i,serverPort,2,
field_72638_v,lastQueryResponseTime,2,
field_72639_u,output,2,
field_72640_t,time,2,
field_72641_s,queryClients,2,
field_72642_r,serverHostname,2,
field_72643_q,queryHostname,2,
field_72644_p,idents,2,
field_72647_g,rconPort,2,
field_72648_l,clientThreads,2,
field_72649_j,serverSocket,2,
field_72650_k,rconPassword,2,
field_72652_i,hostname,2,
field_72657_g,loggedIn,2,
field_72658_j,rconPassword,2,
field_72659_h,clientSocket,2,
field_72660_i,buffer,2,
field_72666_a,HEX_DIGITS,2,
field_72673_b,output,2,
field_72674_a,byteArrayOutput,2,
field_72738_E,damagedBlocks,2,
field_72739_F,renderDistanceChunks,2,
field_72749_I,countEntitiesRendered,2,
field_72750_J,countEntitiesHidden,2,
field_72755_R,renderInfos,2,
field_72769_h,world,2,
field_72770_i,textureManager,2,
field_72773_u,ticks,2,
field_72777_q,mc,2,
field_72814_d,empty,2,
field_72815_e,world,2,
field_72816_b,chunkZ,2,
field_72817_c,chunks,2,
field_72818_a,chunkX,2,
field_72984_F,profiler,2,
field_72986_A,worldInfo,2,
field_72995_K,isRemote,2,
field_73003_n,prevRainingStrength,2,
field_73004_o,rainingStrength,2,
field_73005_l,updateLCG,2,"Contains the current Linear Congruential Generator seed for block updates. Used with an A value of 3 and a C value of 0x3c6ef35f, producing a highly planar series of values ill-suited for choosing random blocks in a 16x128x16 field."
field_73006_m,DIST_HASH_MAGIC,2,
field_73008_k,skylightSubtracted,2,
field_73011_w,dimension,2,
field_73012_v,rand,2,
field_73017_q,thunderingStrength,2,
field_73018_p,prevThunderingStrength,2,
field_73020_y,chunkProvider,2,
field_73035_a,connection,2,
field_73037_M,mc,2,
field_73058_d,disableLevelSaving,2,
field_73061_a,server,2,
field_73068_P,allPlayersSleeping,2,
field_73088_d,isDestroyingBlock,2,
field_73089_e,initialDamage,2,
field_73090_b,player,2,
field_73091_c,gameType,2,
field_73092_a,world,2,
field_73093_n,initialBlockDamage,2,
field_73094_o,durabilityRemainingOnBlock,2,
field_73097_j,receivedFinishDiggingPacket,2,
field_73100_i,ticks,2,
field_73102_f,gameModeTicks,2,
field_73103_d,demoTimeExpired,2,
field_73104_e,demoEndedReminder,2,
field_73105_c,displayedIntro,2,
field_73112_e,partialBlockProgress,2,
field_73115_a,miningPlayerEntId,2,
field_73235_d,world,2,
field_73238_a,empty,2,
field_73251_h,world,2,
field_73672_b,serverProperties,2,
field_73692_f,banEndDate,2,
field_73693_g,reason,2,
field_73694_d,banStartDate,2,
field_73695_e,bannedBy,2,
field_73698_a,DATE_FORMAT,2,
field_73701_b,sender,2,
field_73702_a,command,2,
field_73837_f,ticks,2,
field_73838_g,overlayMessage,2,
field_73839_d,mc,2,
field_73840_e,persistantChatGUI,2,
field_73841_b,itemRenderer,2,
field_73842_c,rand,2,
field_73843_a,prevVignetteBrightness,2,
field_73844_j,animateOverlayMessageColor,2,
field_73845_h,overlayMessageTime,2,
field_73973_d,buttonResetDemo,2,
field_73975_c,splashText,2,
field_74277_g,lastSyncSysClock,2,
field_74280_b,elapsedTicks,2,
field_74286_b,username,2,
field_74295_a,DATE_FORMAT,2,
field_74310_D,keyBindChat,2,
field_74312_F,keyBindAttack,2,
field_74313_G,keyBindUseItem,2,
field_74314_A,keyBindJump,2,
field_74316_C,keyBindDrop,2,
field_74317_L,mc,2,
field_74318_M,difficulty,2,
field_74319_N,hideGUI,2,
field_74320_O,thirdPersonView,2,
field_74321_H,keyBindPlayerList,2,
field_74322_I,keyBindPickBlock,2,
field_74323_J,keyBindCommand,2,
field_74324_K,keyBindings,2,
field_74326_T,smoothCamera,2,
field_74329_Q,showDebugProfilerChart,2,
field_74330_P,showDebugInfo,2,
field_74332_R,lastServer,2,
field_74333_Y,gamma,2,
field_74334_X,fov,2,
field_74335_Z,guiScale,2,
field_74336_f,viewBobbing,2,
field_74338_d,invertMouse,2,
field_74341_c,mouseSensitivity,2,
field_74343_n,chatVisibility,2,
field_74344_o,chatColor,2,
field_74345_l,cloudOption,2,
field_74347_j,fancyGraphics,2,
field_74348_k,ambientOcclusionStatus,2,
field_74350_i,framerateLimit,2,
field_74351_w,keyBindForward,2,
field_74352_v,vsync,2,
field_74353_u,fullscreen,2,
field_74354_ai,optionsFile,2,
field_74355_t,snooper,2,
field_74357_r,chatOpacity,2,
field_74358_q,chatLinksPrompt,2,
field_74359_p,chatLinks,2,
field_74362_aa,particles,2,
field_74363_ab,language,2,
field_74366_z,keyBindRight,2,
field_74368_y,keyBindBack,2,
field_74370_x,keyBindLeft,2,
field_74512_d,keyCode,2,
field_74513_e,pressed,2,
field_74514_b,HASH,2,
field_74515_c,keyDescription,2,
field_74516_a,KEYBIND_ARRAY,2,
field_74541_b,lineString,2,
field_74542_c,chatLineID,2,
field_74543_a,updateCounterCreated,2,
field_74746_b,tagType,2,
field_74747_a,tagList,2,
field_74748_a,data,2,
field_74749_a,intArray,2,
field_74750_a,data,2,
field_74751_a,data,2,
field_74752_a,data,2,
field_74753_a,data,2,
field_74754_a,data,2,
field_74755_a,data,2,
field_74756_a,data,2,
field_74784_a,tagMap,2,
field_74816_c,languageList,2,
field_74885_f,coordBaseMode,2,
field_74886_g,componentType,2,
field_74887_e,boundingBox,2,
field_74949_a,connectedRooms,2,
field_74952_b,isMultipleFloors,2,
field_74953_a,corridorDirection,2,
field_74955_d,sectionCount,2,
field_74956_b,hasSpiders,2,
field_74957_c,spawnerPlaced,2,
field_74958_a,hasRails,2,
field_74967_d,pendingChildren,2,
field_74968_b,primaryWeights,2,
field_74969_c,secondaryWeights,2,
field_74970_a,lastPlaced,2,
field_74972_a,fillSeed,2,
field_74976_a,hasSpawner,2,
field_74993_a,steps,2,
field_74995_d,rightLow,2,
field_74996_b,leftLow,2,
field_74997_c,leftHigh,2,
field_74999_h,rightHigh,2,
field_75002_c,hasMadeChest,2,
field_75005_a,hasSpawner,2,
field_75008_c,isLargeRoom,2,
field_75013_b,roomType,2,
field_75019_b,expandsX,2,
field_75020_c,expandsZ,2,
field_75024_a,source,2,
field_75025_b,strongholdPortalRoom,2,
field_75026_c,pendingChildren,2,
field_75027_a,lastPlaced,2,
field_75056_f,ranBiomeCheck,2,
field_75057_g,structureCoords,2,
field_75074_b,bounds,2,
field_75075_a,components,2,
field_75096_f,flySpeed,2,
field_75097_g,walkSpeed,2,
field_75098_d,isCreativeMode,2,
field_75099_e,allowEdit,2,
field_75100_b,isFlying,2,
field_75101_c,allowFlying,2,
field_75102_a,disableDamage,2,
field_75123_d,foodTimer,2,
field_75124_e,prevFoodLevel,2,
field_75125_b,foodSaturationLevel,2,
field_75126_c,foodExhaustionLevel,2,
field_75127_a,foodLevel,2,
field_75148_f,playerList,2,
field_75149_d,listeners,2,
field_75150_e,transactionID,2,
field_75151_b,inventorySlots,2,
field_75152_c,windowId,2,
field_75153_a,inventoryItemStacks,2,
field_75154_f,numRows,2,
field_75155_e,lowerChestInventory,2,
field_75160_f,craftResult,2,
field_75162_e,craftMatrix,2,
field_75167_g,enchantLevels,2,
field_75168_e,tableInventory,2,
field_75169_l,rand,2,
field_75176_f,merchantInventory,2,
field_75178_e,merchant,2,
field_75179_f,craftResult,2,
field_75180_g,isLocalWorld,2,
field_75181_e,craftMatrix,2,
field_75186_f,slot,2,
field_75188_e,tileBrewingStand,2,
field_75191_d,instancesLimit,2,
field_75192_b,pieceWeight,2,
field_75193_c,instancesSpawned,2,
field_75194_a,pieceClass,2,
field_75203_d,strongComponentType,2,
field_75204_e,STRONGHOLD_STONES,2,
field_75205_b,PIECE_WEIGHTS,2,
field_75206_c,structurePieceList,2,
field_75207_a,totalWeight,2,
field_75221_f,yPos,2,
field_75222_d,slotNumber,2,
field_75223_e,xPos,2,
field_75224_c,inventory,2,
field_75225_a,slotIndex,2,
field_75228_b,removeCount,2,
field_75229_a,player,2,
field_75231_g,removeCount,2,
field_75232_b,player,2,
field_75233_a,merchantInventory,2,
field_75234_h,merchant,2,
field_75237_g,amountCrafted,2,
field_75238_b,player,2,
field_75239_a,craftMatrix,2,
field_75255_d,idleTime,2,
field_75256_b,lookX,2,
field_75257_c,lookZ,2,
field_75258_a,idleEntity,2,
field_75263_d,randPosY,2,
field_75264_e,randPosZ,2,
field_75265_b,speed,2,
field_75266_c,randPosX,2,
field_75267_a,creature,2,
field_75268_b,creeperAttackTarget,2,
field_75269_a,swellingCreeper,2,
field_75271_b,isSitting,2,
field_75272_a,tameable,2,
field_75273_a,entity,2,
field_75276_a,villager,2,
field_75278_f,pitch,2,
field_75279_g,yaw,2,
field_75280_d,targetY,2,
field_75281_e,targetZ,2,
field_75282_b,speed,2,
field_75283_c,targetX,2,
field_75284_a,creature,2,
field_75285_l,scaredByPlayerMovement,2,
field_75287_j,isRunning,2,
field_75289_h,closestPlayer,2,
field_75290_i,delayTemptCounter,2,
field_75297_f,shouldCheckSight,2,
field_75298_g,targetUnseenTicks,2,
field_75299_d,goalOwner,2,The entity that this goal belongs to
field_75301_b,targetSearchStatus,2,
field_75302_c,targetSearchDelay,2,
field_75303_a,nearbyOnly,2,
field_75304_b,villageAgressorTarget,2,
field_75305_a,irongolem,2,
field_75307_b,targetClass,2,
field_75308_c,targetChance,2,
field_75309_a,nearestTarget,2,
field_75310_g,tameable,2,
field_75312_a,entityCallsForHelp,2,
field_75313_b,attacker,2,
field_75314_a,tameable,2,
field_75315_b,attacker,2,
field_75316_a,tameable,2,
field_75318_f,seeTime,2,
field_75320_d,rangedAttackTime,2,
field_75321_e,entityMoveSpeed,2,
field_75322_b,entityHost,2,
field_75323_c,attackTarget,2,
field_75325_h,maxRangedAttackTime,2,
field_75326_b,leapTarget,2,
field_75327_c,leapMotionY,2,
field_75328_a,leaper,2,
field_75329_f,watchedClass,2,
field_75330_d,lookTime,2,
field_75331_e,chance,2,
field_75332_b,entity,2,
field_75333_c,maxDistance,2,
field_75334_a,closestEntity,2,
field_75335_b,villager,2,
field_75336_f,followSpeed,2,
field_75337_g,navigator,2,
field_75338_d,tameable,2,
field_75339_e,owner,2,
field_75340_b,maxDist,2,
field_75341_c,minDist,2,
field_75342_a,world,2,
field_75343_h,timeToRecalcPath,2,
field_75344_i,oldWaterCost,2,
field_75345_d,delayCounter,2,
field_75346_b,parentAnimal,2,
field_75347_c,moveSpeed,2,
field_75348_a,childAnimal,2,
field_75350_f,hasStoppedDoorInteraction,2,
field_75351_g,entityPositionX,2,
field_75356_a,entity,2,
field_75357_h,entityPositionZ,2,
field_75358_j,previousBreakProgress,2,
field_75359_i,breakingTime,2,
field_75360_j,closeDoorTemporisation,2,
field_75361_i,closeDoor,2,
field_75367_f,world,2,
field_75368_d,shelterZ,2,
field_75369_e,movementSpeed,2,
field_75370_b,shelterX,2,
field_75371_c,shelterY,2,
field_75372_a,creature,2,
field_75373_a,entity,2,
field_75374_f,path,2,
field_75375_g,navigation,2,
field_75376_d,avoidTarget,2,
field_75378_b,farSpeed,2,
field_75379_c,nearSpeed,2,
field_75380_a,entity,2,
field_75383_d,minPlayerDistance,2,
field_75384_e,timeoutCounter,2,
field_75385_b,player,2,
field_75386_c,world,2,
field_75387_a,wolf,2,
field_75390_d,animal,2,
field_75391_e,targetMate,2,
field_75392_b,spawnBabyDelay,2,
field_75393_c,moveSpeed,2,
field_75394_a,world,2,
field_75395_b,villager,2,
field_75396_c,lookTime,2,
field_75397_a,ironGolem,2,
field_75408_d,attackCountdown,2,
field_75409_b,entity,2,
field_75410_c,target,2,
field_75411_a,world,2,
field_75415_f,doorList,2,
field_75417_e,isNocturnal,2,
field_75418_b,movementSpeed,2,
field_75419_c,path,2,
field_75420_a,entity,2,
field_75425_f,speed,2,
field_75426_g,maxTargetDistance,2,
field_75427_d,movePosY,2,
field_75428_e,movePosZ,2,
field_75429_b,targetEntity,2,
field_75430_c,movePosX,2,
field_75431_a,creature,2,
field_75432_d,movePosZ,2,
field_75433_e,movementSpeed,2,
field_75434_b,movePosX,2,
field_75435_c,movePosY,2,
field_75436_a,creature,2,
field_75437_f,longMemory,2,
field_75438_g,path,2,
field_75439_d,attackTick,2,
field_75440_e,speedTowardsTarget,2,
field_75441_b,attacker,2,
field_75445_i,delayCounter,2,
field_75453_d,z,2,
field_75454_e,speed,2,
field_75455_b,x,2,
field_75456_c,y,2,
field_75457_a,creature,2,
field_75510_g,totalTicks,2,
field_75511_d,speed,2,
field_75513_b,world,2,
field_75514_c,currentPath,2,
field_75515_a,entity,2,
field_75520_h,ticksAtLastPos,2,
field_75521_i,lastPosCheck,2,
field_75524_b,seenEntities,2,
field_75525_c,unseenEntities,2,
field_75526_a,entity,2,
field_75532_g,spawnX,2,
field_75533_d,siegeCount,2,
field_75534_e,nextSpawnTime,2,
field_75535_b,hasSetupSiege,2,
field_75536_c,siegeState,2,
field_75538_h,spawnY,2,
field_75539_i,spawnZ,2,
field_75604_g,isPeacefulCreature,2,
field_75606_e,maxNumberOfCreature,2,
field_75644_d,posZ,2,
field_75645_e,speed,2,
field_75646_b,posX,2,
field_75647_c,posY,2,
field_75648_a,mob,2,
field_75653_f,posY,2,
field_75654_g,posZ,2,
field_75655_d,isLooking,2,
field_75656_e,posX,2,
field_75657_b,deltaLookYaw,2,
field_75658_c,deltaLookPitch,2,
field_75659_a,mob,2,
field_75662_b,isJumping,2,
field_75663_a,mob,2,
field_75666_b,rotationTickCounter,2,
field_75667_c,prevRenderYawHead,2,
field_75668_a,mob,2,
field_75779_e,tickRate,2,
field_75781_c,profiler,2,
field_75791_f,gameType,2,
field_75792_g,hardcore,2,
field_75793_d,sizeOnDisk,2,
field_75794_e,requiresConversion,2,
field_75795_b,displayName,2,
field_75796_c,lastTimePlayed,2,
field_75797_a,fileName,2,
field_75798_h,cheatsEnabled,2,
field_75833_f,distanceToNext,2,
field_75834_g,distanceToTarget,2,
field_75835_d,index,2,
field_75836_e,totalPathDistance,2,
field_75837_b,y,2,
field_75838_c,z,2,
field_75839_a,x,2,
field_75840_j,hash,2,
field_75841_h,previous,2,
